team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Sydney,2021,8562,303,195,1395,817,1243,2166,260,776,231.40540540540542,8.18918918918919,37.7027027027027,4,3,2,13,6,4,3,37,25,21,15,85,15,18,60.8433734939759,3182,5231,37.1642139686989,1290,-14
West Coast,2021,7785,257,168,1070,798,1090,2363,307,888,210.40540540540542,6.945945945945946,28.91891891891892,5,2,2,10,4,2,0,37,25,19,8,61,13,13,60.47058823529412,2918,4835,37.48233782915864,1165,12
Western Bulldogs,2021,9752,339,238,1511,1034,1423,2209,304,733,237.85365853658536,8.268292682926829,36.853658536585364,4,3,2,11,8,7,3,41,26,21,15,85,11,33,58.752166377816295,3727,5951,38.21780147662018,1394,77
Adelaide,2022,7724,249,178,1487,869,1109,1642,220,908,203.26315789473685,6.552631578947368,39.13157894736842,3,2,1,7,4,3,3,38,29,19,8,51,9,14,58.31381733021077,3153,4473,40.82081822889695,1358,15
Brisbane Lions,2022,8658,356,213,1432,994,1393,2370,280,964,234.0,9.621621621621621,38.7027027027027,8,4,1,13,7,3,3,37,26,23,17,74,12,28,62.56590509666081,3498,5013,40.4019404019404,1487,33
Carlton,2022,8431,268,208,1231,828,1206,2117,254,610,210.775,6.7,30.775,3,2,2,10,8,3,1,40,24,21,8,89,11,29,56.30252100840336,3200,5171,37.95516546079943,1304,48
Collingwood,2022,8745,303,201,1586,878,1357,2047,263,941,230.1315789473684,7.973684210526316,41.73684210526316,5,2,2,15,8,5,2,38,24,22,16,63,15,11,60.11904761904761,3389,5113,38.753573470554606,1563,28
Essendon,2022,7968,249,193,1103,744,1113,2150,220,792,204.30769230769232,6.384615384615385,28.28205128205128,2,1,1,13,7,2,0,39,23,19,12,47,10,17,56.334841628959275,2784,5066,34.93975903614458,1243,24
Fremantle,2022,9200,271,196,1390,908,1238,2270,249,1017,262.85714285714283,7.742857142857143,39.714285714285715,5,2,0,12,9,6,2,35,25,21,19,83,14,25,58.02997858672377,3331,5724,36.20652173913044,1384,-5
Geelong,2022,9358,359,252,1457,940,1442,2441,271,939,267.37142857142857,10.257142857142858,41.628571428571426,4,3,3,16,9,4,3,35,25,23,19,92,13,19,58.756137479541735,3411,5790,36.45009617439624,1491,5
Gold Coast,2022,7170,271,193,1305,862,1229,1834,211,943,179.25,6.775,32.625,4,2,1,6,5,2,2,40,25,17,12,75,13,27,58.4051724137931,3137,3913,43.75174337517434,1385,-13
Greater Western Sydney,2022,8018,237,177,1325,780,1077,2166,245,810,205.5897435897436,6.076923076923077,33.97435897435897,3,2,0,11,7,3,2,39,27,19,8,50,14,13,57.2463768115942,2918,4922,36.393115490147174,1305,4
Hawthorn,2022,7728,262,168,1298,715,1095,1919,223,732,198.15384615384616,6.717948717948718,33.282051282051285,4,3,1,9,6,2,2,39,25,18,11,45,9,11,60.93023255813953,2985,4586,38.62577639751553,1388,-7
Melbourne,2022,8792,300,218,1355,910,1353,2074,278,899,266.42424242424244,9.090909090909092,41.06060606060606,3,3,2,12,8,4,3,33,26,22,16,94,12,25,57.91505791505791,3561,5152,40.50272975432211,1413,5
North Melbourne,2022,7367,193,138,1230,800,958,1864,223,895,188.89743589743588,4.948717948717949,31.53846153846154,2,2,0,8,3,2,1,39,28,20,10,31,8,8,58.30815709969789,2810,4396,38.143070449300936,1355,-35
Port Adelaide,2022,8396,261,198,1321,838,1164,2115,234,583,226.9189189189189,7.054054054054054,35.7027027027027,4,1,1,12,8,4,1,37,25,18,13,74,10,15,56.86274509803921,3030,5223,36.08861362553597,1366,-30
Richmond,2022,8101,334,207,1150,775,1315,2060,263,897,218.94594594594594,9.027027027027026,31.08108108108108,3,3,3,12,7,1,0,37,25,22,11,75,13,19,61.737523105360445,3123,4804,38.55079619800025,1514,-84
St Kilda,2022,8248,247,181,1266,767,1093,2265,234,815,235.65714285714284,7.057142857142857,36.17142857142857,3,3,1,11,6,3,2,35,26,20,11,72,16,13,57.71028037383178,2990,5109,36.25121241513094,1377,-34
Sydney,2022,8767,336,238,1623,938,1357,2333,273,756,250.4857142857143,9.6,46.371428571428574,5,4,2,12,9,4,4,35,27,21,15,83,12,21,58.536585365853654,3485,5133,39.75134025322231,1487,-28
West Coast,2022,7327,212,121,1292,748,893,2160,214,651,155.89361702127658,4.51063829787234,27.48936170212766,3,2,0,6,4,0,2,47,27,17,4,15,6,6,63.66366366366366,2679,4525,36.56339565988809,1218,3
Western Bulldogs,2022,8677,295,207,1297,920,1295,2151,254,682,211.6341463414634,7.195121951219512,31.634146341463413,3,2,1,10,9,6,3,41,26,18,11,75,10,14,58.76494023904383,3210,5423,36.994352886942494,1288,95
Adelaide,2023,8368,319,237,1546,921,1257,2022,270,1077,226.16216216216216,8.621621621621621,41.78378378378378,6,3,1,12,6,2,3,37,25,21,17,77,11,20,57.37410071942446,3302,4863,39.459847036328874,1358,-34
Brisbane Lions,2023,8864,359,247,1444,1098,1471,2572,298,988,253.25714285714287,10.257142857142858,41.25714285714286,7,3,3,15,7,3,2,35,25,22,18,92,14,31,59.240924092409244,3528,5171,39.8014440433213,1447,65
Carlton,2023,9790,306,225,1606,982,1389,2444,341,914,264.5945945945946,8.27027027027027,43.4054054054054,4,1,1,11,9,7,3,37,30,24,12,78,13,22,57.6271186440678,3703,5924,37.82431052093973,1511,46
Collingwood,2023,9469,346,202,1667,960,1369,2339,276,991,255.9189189189189,9.35135135135135,45.054054054054056,5,3,1,12,11,6,4,37,27,23,19,93,16,28,63.138686131386855,3442,5760,36.35019537437956,1531,31
Essendon,2023,8585,267,190,1311,775,1159,2321,226,875,252.5,7.852941176470588,38.55882352941177,3,1,1,13,6,5,1,34,27,21,12,59,11,17,58.42450765864332,2999,5412,34.93302271403611,1210,24
Fremantle,2023,8450,271,164,1457,855,1155,2136,247,1060,234.72222222222223,7.527777777777778,40.47222222222222,5,3,1,12,6,3,3,36,25,20,15,67,11,24,62.29885057471264,3038,5288,35.95266272189349,1146,74
Geelong,2023,7946,306,196,1402,817,1222,2102,261,875,209.10526315789474,8.052631578947368,36.89473684210526,5,3,3,13,5,1,1,38,25,23,12,55,13,13,60.95617529880478,3053,4656,38.42184747042537,1341,-10
Gold Coast,2023,7862,265,195,1344,906,1191,2092,248,1000,196.55,6.625,33.6,4,2,1,10,3,1,2,40,23,20,11,57,8,22,57.608695652173914,3214,4463,40.8801831595014,1343,-53
Greater Western Sydney,2023,9941,330,233,1597,941,1453,2241,258,859,276.1388888888889,9.166666666666666,44.361111111111114,4,3,2,16,10,5,2,36,27,24,18,71,10,20,58.614564831261106,3683,6008,37.04858666130168,1567,-12
Hawthorn,2023,8895,243,181,1294,807,1163,2223,209,948,234.07894736842104,6.394736842105263,34.05263157894737,2,2,1,11,9,5,1,38,28,20,11,57,10,18,57.311320754716974,3030,5790,34.06408094435076,1339,-19
Melbourne,2023,9183,321,222,1530,945,1460,2091,265,1021,270.0882352941176,9.441176470588236,45.0,6,2,0,15,7,4,3,34,26,21,16,89,15,26,59.11602209944752,3659,5396,39.84536643798323,1464,46
North Melbourne,2023,8170,243,149,1345,831,1076,1998,226,938,190.0,5.651162790697675,31.27906976744186,3,1,1,7,3,2,0,43,26,17,8,39,9,13,61.98979591836735,2966,5058,36.303549571603426,1331,-53
Port Adelaide,2023,8400,330,254,1518,958,1416,2073,271,740,227.02702702702703,8.91891891891892,41.027027027027025,6,4,0,12,6,4,2,37,27,21,17,86,9,27,56.5068493150685,3381,4841,40.25,1464,-69
Richmond,2023,8182,265,207,1349,822,1212,1948,255,969,227.27777777777777,7.361111111111111,37.47222222222222,3,2,0,15,6,2,1,36,26,21,13,65,10,19,56.144067796610166,3123,4862,38.16915179662674,1503,-59
St Kilda,2023,9383,271,172,1523,810,1250,2475,255,759,293.21875,8.46875,47.59375,5,2,0,17,9,4,4,32,26,23,16,73,10,21,61.17381489841986,3357,5836,35.77746989235852,1452,78
Sydney,2023,8616,308,220,1604,871,1282,2038,248,759,239.33333333333334,8.555555555555555,44.55555555555556,7,3,0,14,8,4,3,36,26,22,16,75,12,27,58.333333333333336,3342,5092,38.788300835654596,1422,-7
West Coast,2023,7962,204,149,1397,793,998,2060,175,764,199.05,5.1,34.925,2,1,1,6,5,2,2,40,31,14,8,28,7,11,57.79036827195468,2786,5013,34.991208239135894,1279,-25
Western Bulldogs,2023,8529,276,215,1505,958,1242,2021,222,910,230.51351351351352,7.45945945945946,40.67567567567568,4,3,1,10,9,6,4,37,26,19,12,81,12,29,56.211812627291245,3226,5274,37.8238949466526,1234,-3
Adelaide,2024,8300,279,167,1461,872,1132,2023,227,1050,212.82051282051282,7.153846153846154,37.46153846153846,5,3,1,11,6,3,2,39,24,21,12,52,9,18,62.5560538116592,3150,4921,37.95180722891566,1334,1
Brisbane Lions,2024,9757,365,277,1473,1091,1526,2983,293,959,263.7027027027027,9.864864864864865,39.810810810810814,8,5,2,15,8,6,1,37,24,22,18,82,11,22,56.85358255451713,3606,5989,36.95808137747258,1432,55
Carlton,2024,8620,327,200,1521,950,1241,2193,252,784,232.97297297297297,8.837837837837839,41.108108108108105,3,3,2,10,6,5,3,37,27,23,13,87,12,45,62.04933586337761,3311,5149,38.4106728538283,1290,27
Collingwood,2024,7883,288,209,1472,859,1143,1867,212,956,213.05405405405406,7.783783783783784,39.78378378378378,4,1,0,9,6,2,1,37,24,19,14,68,9,38,57.947686116700204,3001,4600,38.06926297095015,1421,4
Essendon,2024,8748,275,187,1374,817,1280,2274,215,891,249.94285714285715,7.857142857142857,39.25714285714286,2,2,2,11,6,4,2,35,27,19,14,67,12,18,59.523809523809526,2968,5554,33.92775491540924,1265,62
Fremantle,2024,8445,286,216,1337,916,1174,2141,181,865,234.58333333333334,7.944444444444445,37.138888888888886,6,2,1,12,7,5,4,36,25,21,16,87,12,28,56.97211155378486,2920,5407,34.57667258732978,1122,30
Geelong,2024,8760,353,210,1591,976,1364,2201,244,941,250.28571428571428,10.085714285714285,45.457142857142856,7,3,2,14,7,2,3,35,28,21,15,68,13,16,62.699822380106575,3391,5075,38.710045662100455,1474,-7
Gold Coast,2024,7987,281,192,1358,818,1289,1949,213,967,210.18421052631578,7.394736842105263,35.73684210526316,3,1,1,7,4,3,1,38,24,21,13,64,9,25,59.40803382663847,3020,4825,37.811443595843244,1276,61
Greater Western Sydney,2024,9313,330,186,1674,936,1265,2207,265,949,273.9117647058824,9.705882352941176,49.23529411764706,5,3,2,15,7,4,4,34,26,22,15,85,14,27,63.95348837209303,3410,5667,36.615483732417054,1481,-47
Hawthorn,2024,8999,331,229,1509,918,1348,2276,211,964,264.6764705882353,9.735294117647058,44.38235294117647,8,2,0,16,10,4,3,34,27,22,17,82,14,24,59.10714285714286,3292,5593,36.581842426936326,1363,0
Melbourne,2024,7953,259,188,1337,785,1127,2167,241,847,220.91666666666666,7.194444444444445,37.138888888888886,3,3,1,12,6,0,2,36,25,22,14,67,12,16,57.94183445190156,3006,4771,37.797057714070164,1272,-22
North Melbourne,2024,8134,244,119,1353,848,1041,2034,205,921,208.56410256410257,6.256410256410256,34.69230769230769,3,2,1,12,7,2,1,39,26,21,11,42,8,18,67.21763085399449,2976,4953,36.587164986476516,1268,-25
Port Adelaide,2024,8958,310,282,1683,975,1418,2464,259,1065,263.47058823529414,9.117647058823529,49.5,6,2,1,12,10,6,4,34,27,23,18,84,9,29,52.36486486486487,3371,5294,37.631167671355215,1417,-29
Richmond,2024,7779,211,177,1162,763,1101,1962,190,893,185.21428571428572,5.023809523809524,27.666666666666668,2,1,0,8,3,1,1,42,25,17,10,19,8,5,54.38144329896907,2803,4774,36.03290911428204,1421,-85
St Kilda,2024,8381,254,170,1373,778,1126,2406,228,680,220.55263157894737,6.684210526315789,36.13157894736842,3,2,0,10,8,3,1,38,28,21,10,64,13,16,59.905660377358494,3009,5191,35.902636916835704,1291,2
Sydney,2024,9257,364,247,1517,941,1389,2484,206,1039,298.61290322580646,11.741935483870968,48.935483870967744,7,6,2,14,9,6,3,31,25,24,21,103,12,28,59.57446808510638,3365,5660,36.35086961218537,1458,14
West Coast,2024,7264,229,180,1287,807,1059,1939,237,703,181.6,5.725,32.175,4,1,1,11,3,0,1,40,25,20,12,30,6,8,55.99022004889975,2819,4285,38.80781938325991,1156,-21
Western Bulldogs,2024,8902,321,241,1426,958,1357,2340,267,820,247.27777777777777,8.916666666666666,39.611111111111114,6,4,1,10,7,3,3,36,26,21,15,91,13,26,57.11743772241993,3262,5544,36.64345090990789,1284,-6
Adelaide,2025,8737,357,208,1601,956,1335,2218,275,1159,236.13513513513513,9.64864864864865,43.270270270270274,6,5,2,15,9,4,3,37,25,20,18,93,15,27,63.1858407079646,3438,5054,39.34989126702529,1546,28
Brisbane Lions,2025,10033,355,273,1560,1106,1533,2819,222,1090,278.69444444444446,9.86111111111111,43.333333333333336,7,4,2,14,11,9,2,36,27,21,18,98,14,21,56.52866242038217,3580,6251,35.682248579687034,1486,39
Carlton,2025,8232,259,198,1452,903,1231,2072,243,798,211.07692307692307,6.641025641025641,37.23076923076923,3,1,0,11,4,2,2,39,25,18,10,60,9,19,56.67396061269147,3167,4937,38.47181729834791,1328,45
Collingwood,2025,8752,308,236,1635,900,1328,2201,237,910,250.05714285714285,8.8,46.714285714285715,4,3,1,13,7,3,2,35,27,22,16,83,13,32,56.61764705882353,3180,5331,36.3345521023766,1442,-6
Essendon,2025,8472,220,164,1322,784,1074,2013,196,866,192.54545454545453,5.0,30.045454545454547,2,0,0,8,6,3,0,44,27,15,8,40,8,14,57.291666666666664,2894,5343,34.15958451369217,1342,52
Fremantle,2025,8176,300,200,1456,924,1261,1842,235,983,240.47058823529412,8.823529411764707,42.8235294117647,7,4,1,9,5,3,2,34,26,22,15,88,11,26,60.0,3182,4868,38.91878669275929,1304,-32
Geelong,2025,9145,400,264,1685,985,1463,2563,285,1013,295.0,12.903225806451612,54.354838709677416,6,6,2,16,8,4,3,31,25,23,21,99,13,29,60.24096385542169,3466,5470,37.900492072170586,1435,48
Gold Coast,2025,8800,334,232,1534,989,1408,1945,239,1204,237.83783783783784,9.027027027027026,41.45945945945946,4,2,2,14,8,4,2,37,23,22,17,95,11,39,59.01060070671378,3362,5285,38.20454545454545,1404,11
Greater Western Sydney,2025,8708,325,202,1442,884,1239,2194,242,860,241.88888888888889,9.027777777777779,40.05555555555556,6,3,3,10,6,4,1,36,28,21,15,82,11,21,61.66982922201139,3134,5314,35.989894350022965,1424,-61
Hawthorn,2025,9537,343,228,1635,967,1374,2215,257,1138,272.48571428571427,9.8,46.714285714285715,6,3,2,15,11,4,4,35,24,22,20,80,16,17,60.07005253940455,3498,5802,36.67820069204152,1490,42
Melbourne,2025,8396,271,230,1315,846,1214,2171,241,945,233.22222222222223,7.527777777777778,36.52777777777778,4,3,1,11,7,4,2,36,25,23,12,65,7,23,54.091816367265466,3109,5173,37.02953787517866,1308,32
North Melbourne,2025,8230,267,162,1374,930,1060,1928,199,837,211.02564102564102,6.846153846153846,35.23076923076923,4,3,1,10,7,6,2,39,25,20,14,45,9,11,62.23776223776224,2967,5076,36.05103280680437,1309,-61
Port Adelaide,2025,7948,244,204,1385,870,1126,1908,173,963,198.7,6.1,34.625,2,1,1,10,5,3,2,40,25,20,12,60,9,21,54.46428571428571,2860,4771,35.98389531957725,1399,-51
Richmond,2025,7790,204,179,1195,764,1015,2024,215,851,194.75,5.1,29.875,2,0,0,10,5,2,1,40,26,19,13,33,5,20,53.26370757180157,2798,4803,35.91784338896021,1259,-28
St Kilda,2025,8255,268,190,1431,868,1109,2149,178,748,211.66666666666666,6.871794871794871,36.69230769230769,5,2,1,10,8,4,3,39,26,20,13,55,11,23,58.515283842794766,2934,5116,35.542095699576016,1331,-10
Sydney,2025,8151,264,226,1382,884,1202,2063,169,999,232.88571428571427,7.542857142857143,39.48571428571429,4,1,0,11,5,2,1,35,28,19,13,64,8,21,53.87755102040816,2981,4946,36.57219973009447,1360,-18
West Coast,2025,7277,209,180,1320,722,1060,1769,182,796,186.5897435897436,5.358974358974359,33.84615384615385,2,0,0,9,3,1,1,39,27,20,10,12,6,3,53.72750642673522,2726,4395,37.46049196097293,1339,-33
Western Bulldogs,2025,8646,369,224,1299,946,1298,2142,260,815,240.16666666666666,10.25,36.083333333333336,6,3,2,11,8,4,2,36,23,20,14,90,12,25,62.22596964586846,3109,5429,35.9588248901226,1190,11
